Reaction:   ZT= 82    AT 208    ZP 20    AP  48
Energies in MeV, cross sections in mb,  angular momenta in hbar
SIGSUM = sum of residual nucleus cross sections.  SIGRAT = SIGSUM/SIGFUS

  ELAB E*_CN    SIGFUS    SIGSUM    SIGRAT   SIGEVAP    SIGFIS  LCRIT sig_252No sig_253No sig_254No sig_255No sig_256No sig_251Md sig_252Md sig_253Md sig_254Md sig_255Md sig_250Fm sig_251Fm sig_252Fm sig_253Fm sig_254Fm sig_249Es sig_250Es sig_251Es sig_252Es sig_253Es sig_248Cf sig_249Cf sig_250Cf sig_251Cf sig_252Cf
 213.5  19.7 2.684e+00 3.428e-03 1.277e-03 3.428e-03 2.681e+00    9.0  0.00e+00  0.00e+00  3.13e-03  2.95e-04  0.00e+00  0.00e+00  0.00e+00  0.00e+00  2.69e-08  1.35e-06  0.00e+00  8.47e-08  1.53e-06  0.00e+00  1.28e-19  0.00e+00  0.00e+00  3.65e-16  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 216.7  22.3 9.820e+00 7.507e-03 7.644e-04 7.506e-03 9.813e+00   22.0  0.00e+00  3.87e-06  7.42e-03  7.48e-05  0.00e+00  0.00e+00  0.00e+00  0.00e+00  7.30e-07  1.94e-06  0.00e+00  1.36e-06  4.13e-06  0.00e+00  2.00e-14  0.00e+00  0.00e+00  1.55e-13  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 219.4  24.5 2.201e+01 5.126e-03 2.329e-04 5.122e-03 2.201e+01   28.0  0.00e+00  1.23e-04  4.97e-03  1.76e-05  0.00e+00  0.00e+00  0.00e+00  1.95e-09  3.98e-06  1.17e-06  3.58e-09  5.95e-06  4.33e-06  0.00e+00  6.42e-13  0.00e+00  0.00e+00  3.29e-12  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
